ativo,margem
CMIGP102,2.25
IRBRQ675,48.02
RAILX101,2.54
ABEVL916,5.36
CMIGP105,2.41
IRBRQ680,48.44
RAILX106,2.85
ABEVL926,5.27
CMIGP107,2.57
IRBRQ685,48.87
RAILX109,3.01
ABEVL936,5.17
CMIGP110,2.73
IRBRQ69,49.73
RAILX111,3.16
ABEVL946,5.08
CMIGP112,2.89
IRBRQ690,49.30
RAILX114,3.33
ABEVL956,4.98
CMIGP115,3.06
IRBRQ70,50.16
RAILX116,3.49
ABEVL966,4.89
CMIGP117,3.23
IRBRQ705,50.59
RAILX119,3.66
ABEVL976,4.79
CMIGP120,3.41
IRBRQ710,51.02
RAILX121,3.83
ABEVL986,4.70
CMIGP122,3.59
IRBRQ715,51.46
RAILX124,4.00
ABEVM108,1.29
CMIGP125,3.77
IRBRQ720,51.89
RAILX126,4.18
ABEVM110,1.14
CMIGP127,3.95
IRBRQ725,52.32
RAILX129,4.36
ABEVM118,1.96
CMIGP129,4.14
IRBRQ730,52.75
RAILX131,4.54
ABEVM121,2.14
CMIGP132,4.33
IRBRQ735,53.18
RAILX134,4.72
ABEVM124,2.33
CMIGP137,4.71
IRBRQ740,53.61
RAILX136,4.90
ABEVM126,2.52
CMIGP142,5.10
IRBRQ745,54.04
RAILX139,5.09
ABEVM128,2.72
CMIGP144,5.30
IRBRQ750,54.48
RAILX141,5.28
ABEVM134,3.13
CMIGP147,5.50
IRBRQ755,54.91
RAILX144,5.47
ABEVM139,3.56
CMIGP152,5.91
IRBRQ760,55.35
RAILX146,5.66
ABEVM163,5.59
CMIGP157,6.32
IRBRQ765,55.78
RAILX149,5.85
ABEVN101,0.96
CMIGP162,6.74
IRBRQ770,56.21
RAILX151,6.05
ABEVN103,1.08
CMIGP164,6.95
IRBRQ775,56.65
RAILX154,6.24
ABEVN108,1.36
CMIGP167,7.16
IRBRQ780,57.08
RAILX156,6.44
ABEVN11,1.22
CMIGP17,7.37
IRBRQ785,57.52
RAILX159,6.64
ABEVN111,1.51
CMIGP172,7.58
IRBRQ790,57.95
RAILX164,7.05
ABEVN128,2.72
CMIGP177,8.01
IRBRQ795,58.38
RAILX166,7.25
ABEVN138,3.52
CMIGP180,8.23
IRBRQ800,58.82
RAILX169,7.45
ABEVO122,2.21
CMIGP182,8.45
IRBRQ805,59.26
RAILX170,6.84
ABEVO224,10.20
CMIGP185,8.67
IRBRQ810,59.69
RAILX171,7.66
ABEVP11,1.31
CMIGP187,8.88
IRBRQ815,60.12
RAILX174,7.87
ABEVQ11,1.35
CMIGP190,9.10
IRBRQ820,60.56
RAILX176,8.08
ABEVR11,1.39
CMIGP192,9.32
IRBRQ825,61.00
RAILX179,8.29
ABEVS110,1.43
CMIGP195,9.54
IRBRQ830,61.44
RAILX181,8.50
ABEVT120,1.65
CMIGP197,9.76
IRBRQ835,61.87
RAILX184,8.71
ABEVU100W4,0.12
CMIGP2,4.91
IRBRQ840,62.31
RAILX186,8.92
ABEVU105W4,0.53
CMIGP200,9.99
IRBRQ845,62.74
RAILX189,9.13
ABEVU110W4,1.03
CMIGP202,10.21
IRBRQ85,64.06
RAILX191,9.35
ABEVU115W4,1.53
CMIGP205,10.43
IRBRQ850,63.18
RAILX194,9.56
ABEVU120W4,2.03
CMIGP207,10.65
IRBRQ855,63.62
RAILX196,9.78
ABEVU125W4,2.53
CMIGP210,10.88
IRBRQ865,64.49
RAILX199,10.00
ABEVU130W4,3.03
CMIGP212,11.10
IRBRQ870,64.93
RAILX201,10.22
ABEVU135W4,3.52
CMIGP215,11.33
IRBRQ875,65.37
RAILX206,10.65
ABEVU140W4,4.02
CMIGP217,11.55
IRBRQ880,65.81
RAILX211,11.09
ABEVU145W4,4.52
CMIGP3,5.71
IRBRQ885,66.25
RAILX216,11.54
ABEVU150W4,5.02
CMIGP4,6.11
IRBRQ890,66.69
RAILX221,11.98
ABEVU155W4,5.52
CMIGP5,6.53
IRBRQ895,67.13
RAILX226,12.43
ABEVU160W4,6.02
CMIGP6,7.80
IRBRQ900,67.57
RAILX231,12.88
ABEVU165W4,6.52
CMIGP904,1.55
IRBRQ905,68.01
RAILX236,13.33
ABEVU170W4,7.02
CMIGP924,1.66
IRBRQ910,68.45
RAILX241,13.79
ABEVU175W4,7.52
CMIGP954,1.82
IRBRQ915,68.89
RAILX246,14.24
ABEVU238,10.51
CMIGP974,1.93
IRBRQ920,69.32
RAILX296,18.88
ABEVV100W1,0.27
CMIGQ10,2.05
IRBRQ925,69.76
RAIZA105,0.61
ABEVV100W2,0.35
CMIGR1,4.55
IRBRQ930,70.21
RAIZA110,0.57
ABEVV100W4,0.47
CMIGR10,2.23
IRBRQ935,70.65
RAIZA115,0.54
ABEVV100W5,0.52
CMIGR100,2.12
IRBRQ940,71.09
RAIZA120,0.50
ABEVV102,0.47
CMIGR102,2.38
IRBRQ945,71.53
RAIZA125,0.47
