ativo,margem
IRBRK385,"42,61"
RAILK126,"10,50"
ABEVJ960W4,"4,00"
CMIGR122,"3,81"
IRBRK390,"42,21"
RAILK131,"10,06"
ABEVJ960W5,"4,03"
CMIGR125,"3,99"
IRBRK395,"41,82"
RAILK136,"9,62"
ABEVJ969,"4,01"
CMIGR127,"4,18"
IRBRK400,"41,43"
RAILK141,"9,19"
ABEVJ979,"3,91"
CMIGR129,"4,36"
IRBRK405,"41,04"
RAILK144,"8,98"
ABEVJ980W2,"3,74"
CMIGR132,"4,55"
IRBRK410,"40,66"
RAILK146,"8,78"
ABEVJ980W4,"3,80"
CMIGR136,"4,94"
IRBRK415,"40,27"
RAILK149,"8,57"
ABEVJ980W5,"3,83"
CMIGR139,"5,13"
IRBRK420,"39,90"
RAILK151,"8,37"
ABEVJ989,"3,81"
CMIGR142,"5,33"
IRBRK425,"39,52"
RAILK154,"8,17"
ABEVJ996,"3,61"
CMIGR144,"5,52"
IRBRK425W1,"38,01"
RAILK156,"7,97"
ABEVJ999,"3,71"
CMIGR147,"5,72"
IRBRK430,"39,14"
RAILK159,"7,78"
ABEVK100W1,"3,66"
CMIGR152,"6,13"
IRBRK430W1,"37,60"
RAILK164,"7,42"
ABEVK100W2,"3,69"
CMIGR156,"6,53"
IRBRK432,"38,96"
RAILK166,"7,24"
ABEVK102,"3,61"
CMIGR159,"6,74"
IRBRK435,"38,77"
RAILK169,"7,07"
ABEVK104,"3,37"
CMIGR161,"6,94"
IRBRK435W1,"37,19"
RAILK170,"7,60"
ABEVK105W1,"3,17"
CMIGR166,"7,36"
IRBRK437,"38,59"
RAILK171,"6,90"
ABEVK105W2,"3,21"
CMIGR172,"7,77"
IRBRK440,"38,40"
RAILK176,"6,56"
ABEVK109,"2,91"
CMIGR174,"7,99"
IRBRK440W1,"36,79"
RAILK181,"6,24"
ABEVK110,"3,14"
CMIGR177,"8,20"
IRBRK440W2,"37,71"
RAILK186,"5,93"
ABEVK110W1,"2,69"
CMIGR179,"8,41"
IRBRK442,"38,22"
RAILK191,"5,63"
ABEVK110W2,"2,74"
CMIGR182,"8,62"
IRBRK445,"38,03"
RAILK196,"5,35"
ABEVK112,"2,68"
CMIGR184,"8,84"
IRBRK445W1,"36,38"
RAILK199,"5,21"
ABEVK114,"2,46"
CMIGR187,"9,05"
IRBRK445W2,"37,33"
RAILK201,"5,07"
ABEVK115W1,"2,23"
CMIGR19,"9,26"
IRBRK447,"37,85"
RAILK206,"4,81"
ABEVK115W2,"2,29"
CMIGR192,"9,48"
IRBRK450,"37,67"
RAILK211,"4,56"
ABEVK117W1,"2,01"
CMIGR194,"9,70"
IRBRK450W1,"35,98"
RAILK214,"4,43"
ABEVK117W2,"2,08"
CMIGR197,"9,91"
IRBRK450W2,"36,95"
RAILK216,"4,32"
ABEVK12,"1,85"
CMIGR2,"5,92"
IRBRK452,"37,49"
RAILK221,"4,09"
ABEVK120,"2,25"
CMIGR20,"10,13"
IRBRK455,"37,31"
RAILK226,"3,87"
ABEVK120W1,"1,80"
CMIGR202,"10,35"
IRBRK455W1,"35,59"
RAILL101,"13,06"
ABEVK120W2,"1,87"
CMIGR204,"10,57"
IRBRK455W2,"36,58"
RAILL106,"12,61"
ABEVK122,"2,05"
CMIGR207,"10,79"
IRBRK457,"37,13"
RAILL109,"12,39"
ABEVK122W1,"1,60"
CMIGR21,"11,01"
IRBRK460,"36,95"
RAILL111,"12,18"
ABEVK122W2,"1,68"
CMIGR212,"11,22"
IRBRK460W1,"35,19"
RAILL114,"11,96"
ABEVK124,"1,67"
CMIGR215,"11,44"
IRBRK460W2,"36,20"
RAILL116,"11,75"
ABEVK125W1,"1,41"
CMIGR217,"11,67"
IRBRK462,"36,77"
RAILL119,"11,54"
ABEVK125W2,"1,49"
CMIGR3,"6,33"
IRBRK465,"36,59"
RAILL121,"11,33"
ABEVK127,"1,49"
CMIGR4,"7,15"
IRBRK465W1,"34,80"
RAILL124,"11,13"
ABEVK127W1,"1,23"
CMIGR5,"7,57"
IRBRK465W2,"35,83"
RAILL126,"10,92"
ABEVK127W2,"1,32"
CMIGR854,"1,45"
IRBRK467,"36,42"
RAILL129,"10,72"
ABEVK129,"1,33"
CMIGR874,"1,55"
IRBRK470,"36,24"
RAILL131,"10,52"
ABEVK130W1,"1,07"
CMIGR904,"1,71"
IRBRK470W1,"34,41"
RAILL134,"10,32"
ABEVK130W2,"1,16"
CMIGR924,"1,83"
IRBRK470W2,"35,46"
RAILL136,"10,14"
ABEVK132,"1,18"
CMIGR954,"2,00"
IRBRK472,"36,07"
RAILL139,"9,95"
ABEVK132W1,"0,92"
CMIGR974,"2,12"
IRBRK475,"35,89"
RAILL141,"9,77"
ABEVK132W2,"1,02"
CMIGS1,"5,90"
